"BehaviorSpace results (NetLogo 7.0.2)","Table version 2.0"
"modelo_base.nlogox"
"negative-influence-voting"
"01/20/2026 11:28:52:023 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-10","10","-10","10"
"[run number]","learning-rate","percent-option-B","confidence-threshold","influence-type","[step]","pref-A","pref-B"
"5","0.2","39","0.1","negative","4400","228","213"
"6","0.2","39","0.1","negative","4400","229","212"
"8","0.2","39","0.1","negative","4400","236","205"
"1","0.2","39","0.1","negative","2600","239","202"
"3","0.2","39","0.1","negative","4400","236","205"
"4","0.2","39","0.1","negative","4300","236","205"
"7","0.2","39","0.1","negative","4500","233","208"
"9","0.2","39","0.1","negative","4300","240","201"
"5","0.2","39","0.1","negative","4500","227","214"
"6","0.2","39","0.1","negative","4500","229","212"
"8","0.2","39","0.1","negative","4500","235","206"
"3","0.2","39","0.1","negative","4500","236","205"
"4","0.2","39","0.1","negative","4400","235","206"
"7","0.2","39","0.1","negative","4600","230","211"
"9","0.2","39","0.1","negative","4400","238","203"
"5","0.2","39","0.1","negative","4600","225","216"
"1","0.2","39","0.1","negative","2700","236","205"
"6","0.2","39","0.1","negative","4600","228","213"
"3","0.2","39","0.1","negative","4600","237","204"
"2","0.2","39","0.1","negative","2700","232","209"
"7","0.2","39","0.1","negative","4700","230","211"
"5","0.2","39","0.1","negative","4700","224","217"
"9","0.2","39","0.1","negative","4500","238","203"
"6","0.2","39","0.1","negative","4700","231","210"
"1","0.2","39","0.1","negative","2800","233","208"
"3","0.2","39","0.1","negative","4700","236","205"
"2","0.2","39","0.1","negative","2800","234","207"
"7","0.2","39","0.1","negative","4800","230","211"
"5","0.2","39","0.1","negative","4800","224","217"
"9","0.2","39","0.1","negative","4600","238","203"
"6","0.2","39","0.1","negative","4800","232","209"
"8","0.2","39","0.1","negative","4600","235","206"
"3","0.2","39","0.1","negative","4800","236","205"
"4","0.2","39","0.1","negative","4500","235","206"
"7","0.2","39","0.1","negative","4900","230","211"
"9","0.2","39","0.1","negative","4700","239","202"
"5","0.2","39","0.1","negative","4900","226","215"
"6","0.2","39","0.1","negative","4900","230","211"
"1","0.2","39","0.1","negative","2900","234","207"
"8","0.2","39","0.1","negative","4700","233","208"
"2","0.2","39","0.1","negative","2900","232","209"
"3","0.2","39","0.1","negative","4900","236","205"
"4","0.2","39","0.1","negative","4600","233","208"
"7","0.2","39","0.1","negative","5000","229","212"
"9","0.2","39","0.1","negative","4800","238","203"
"5","0.2","39","0.1","negative","5000","226","215"
"6","0.2","39","0.1","negative","5000","229","212"
"8","0.2","39","0.1","negative","4800","233","208"
"2","0.2","39","0.1","negative","3000","230","211"
"3","0.2","39","0.1","negative","5000","235","206"
"1","0.2","39","0.1","negative","3000","235","206"
"4","0.2","39","0.1","negative","4700","231","210"
"7","0.2","39","0.1","negative","5100","229","212"
"9","0.2","39","0.1","negative","4900","239","202"
"5","0.2","39","0.1","negative","5100","226","215"
"6","0.2","39","0.1","negative","5100","228","213"
"8","0.2","39","0.1","negative","4900","233","208"
"3","0.2","39","0.1","negative","5100","233","208"
"4","0.2","39","0.1","negative","4800","233","208"
"7","0.2","39","0.1","negative","5200","227","214"
"9","0.2","39","0.1","negative","5000","236","205"
"6","0.2","39","0.1","negative","5200","225","216"
"1","0.2","39","0.1","negative","3100","237","204"
"8","0.2","39","0.1","negative","5000","233","208"
"3","0.2","39","0.1","negative","5200","230","211"
"4","0.2","39","0.1","negative","4900","233","208"
"7","0.2","39","0.1","negative","5300","227","214"
"9","0.2","39","0.1","negative","5100","236","205"
"6","0.2","39","0.1","negative","5300","229","212"
"8","0.2","39","0.1","negative","5100","232","209"
"3","0.2","39","0.1","negative","5300","230","211"
"4","0.2","39","0.1","negative","5000","232","209"
"7","0.2","39","0.1","negative","5400","228","213"
"9","0.2","39","0.1","negative","5200","234","207"
"2","0.2","39","0.1","negative","3100","234","207"
"6","0.2","39","0.1","negative","5400","226","215"
"5","0.2","39","0.1","negative","5200","227","214"
"8","0.2","39","0.1","negative","5200","230","211"
"1","0.2","39","0.1","negative","3200","238","203"
"3","0.2","39","0.1","negative","5400","231","210"
"4","0.2","39","0.1","negative","5100","230","211"
"7","0.2","39","0.1","negative","5500","227","214"
"9","0.2","39","0.1","negative","5300","232","209"
"6","0.2","39","0.1","negative","5500","225","216"
"5","0.2","39","0.1","negative","5300","227","214"
"8","0.2","39","0.1","negative","5300","231","210"
"2","0.2","39","0.1","negative","3200","234","207"
"3","0.2","39","0.1","negative","5500","231","210"
"4","0.2","39","0.1","negative","5200","231","210"
"7","0.2","39","0.1","negative","5600","227","214"
"6","0.2","39","0.1","negative","5600","226","215"
"9","0.2","39","0.1","negative","5400","232","209"
"5","0.2","39","0.1","negative","5400","227","214"
"8","0.2","39","0.1","negative","5400","231","210"
"1","0.2","39","0.1","negative","3300","237","204"
"3","0.2","39","0.1","negative","5600","232","209"
"4","0.2","39","0.1","negative","5300","232","209"
"7","0.2","39","0.1","negative","5700","227","214"
"2","0.2","39","0.1","negative","3300","234","207"
"6","0.2","39","0.1","negative","5700","226","215"
"9","0.2","39","0.1","negative","5500","231","210"
"8","0.2","39","0.1","negative","5500","230","211"
"5","0.2","39","0.1","negative","5500","226","215"
"3","0.2","39","0.1","negative","5700","233","208"
"4","0.2","39","0.1","negative","5400","233","208"
"7","0.2","39","0.1","negative","5800","227","214"
"6","0.2","39","0.1","negative","5800","226","215"
"9","0.2","39","0.1","negative","5600","232","209"
"8","0.2","39","0.1","negative","5600","231","210"
"5","0.2","39","0.1","negative","5600","226","215"
"2","0.2","39","0.1","negative","3400","233","208"
"1","0.2","39","0.1","negative","3400","234","207"
"3","0.2","39","0.1","negative","5800","234","207"
"4","0.2","39","0.1","negative","5500","232","209"
"7","0.2","39","0.1","negative","5900","227","214"
"6","0.2","39","0.1","negative","5900","225","216"
"9","0.2","39","0.1","negative","5700","232","209"
"8","0.2","39","0.1","negative","5700","230","211"
"5","0.2","39","0.1","negative","5700","227","214"
"3","0.2","39","0.1","negative","5900","233","208"
"4","0.2","39","0.1","negative","5600","232","209"
"2","0.2","39","0.1","negative","3500","232","209"
"7","0.2","39","0.1","negative","6000","227","214"
"6","0.2","39","0.1","negative","6000","227","214"
"9","0.2","39","0.1","negative","5800","231","210"
"8","0.2","39","0.1","negative","5800","231","210"
"5","0.2","39","0.1","negative","5800","227","214"
"3","0.2","39","0.1","negative","6000","232","209"
"4","0.2","39","0.1","negative","5700","234","207"
"7","0.2","39","0.1","negative","6100","227","214"
"1","0.2","39","0.1","negative","3500","234","207"
"6","0.2","39","0.1","negative","6100","228","213"
"9","0.2","39","0.1","negative","5900","230","211"
"8","0.2","39","0.1","negative","5900","231","210"
