"BehaviorSpace results (NetLogo 7.0.2)","Table version 2.0"
"modelo_base.nlogox"
"experimento-3-negativa"
"01/28/2026 09:13:04:081 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-53","53","-5","4"
"[run number]","learning-rate","percent-option-B","agents-updated-per-tick","confidence-threshold","spatial-interactions?","influence-type","[step]","pref-A","pref-B"
"153","0.53","39","5","0.05","false","negative","166","619","451"
"148","0.53","39","5","0.04","false","negative","259","622","448"
"147","0.53","39","5","0.04","false","negative","166","627","443"
"146","0.53","39","5","0.04","false","negative","259","615","455"
"157","0.53","39","5","0.05","false","negative","69","641","429"
"151","0.53","39","5","0.05","false","negative","166","614","456"
"150","0.53","39","5","0.04","false","negative","259","591","479"
"155","0.53","39","5","0.05","false","negative","166","619","451"
"158","0.53","39","5","0.05","false","negative","69","645","425"
"153","0.53","39","5","0.05","false","negative","259","608","462"
"159","0.53","39","5","0.05","false","negative","69","635","435"
"156","0.53","39","5","0.05","false","negative","166","612","458"
"160","0.53","39","5","0.05","false","negative","69","644","426"
"149","0.53","39","5","0.04","false","negative","166","603","467"
"161","0.53","39","5","0.05","false","negative","69","640","430"
"151","0.53","39","5","0.05","false","negative","259","604","466"
"155","0.53","39","5","0.05","false","negative","259","617","453"
"152","0.53","39","5","0.05","false","negative","166","633","437"
"147","0.53","39","5","0.04","false","negative","259","609","461"
"158","0.53","39","5","0.05","false","negative","166","631","439"
"157","0.53","39","5","0.05","false","negative","166","631","439"
"154","0.53","39","5","0.05","false","negative","166","635","435"
"160","0.53","39","5","0.05","false","negative","166","622","448"
"159","0.53","39","5","0.05","false","negative","166","614","456"
"156","0.53","39","5","0.05","false","negative","259","606","464"
"163","0.53","39","5","0.05","false","negative","69","635","435"
"162","0.53","39","5","0.05","false","negative","69","636","434"
"161","0.53","39","5","0.05","false","negative","166","621","449"
"164","0.53","39","5","0.05","false","negative","69","642","428"
"158","0.53","39","5","0.05","false","negative","259","615","455"
"160","0.53","39","5","0.05","false","negative","259","593","477"
